Gly,Глицин,C2H5NO2,75.0669
Ala,Аланин,C3H7NO2,89.0935
Ser,Серин,C3H7NO3,105.0930
Pro,Пролин,C5H9NO2,115.1310
Val,Валин,C5H11NO2,117.1469
Thr,Треонин,C4H9NO3,119.1197
Cys,Цистеин,C3H7NO2S,121.1590
Ile,Изолейцин,C6H13NO2,131.1736
Leu,Лейцин,C6H13NO2,131.1736
Asn,Аспарагин,C4H8N2O3,132.1184
Asp,Аспартат,C4H7NO4,133.1032
Gln,Глутамин,C5H10N2O3,146.1451
Lys,Лизин,C6H14N2O2,146.1882
Glu,Глутамат,C5H9NO4,147.1299
Met,Метионин,C5H11NO2S,149.2124
His,Гистидин,C6H9N3O2,155.1552
Phe,Фенилаланин,C9H11NO2,165.1900
Arg,Аргинин,C6H14N4O2,174.2017
Tyr,Тирозин,C9H11NO3,181.1894
Trp,Триптофан,C11H12N2O2,204.2262

